#SET1,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
The White Sea,Uncanny,The White Sea,The White Sea,Uncanny,The White Sea,The White Sea,Supply and Demand,The White Sea
Uncanny,A Pillar of Salt,Uncanny,Uncanny,A Pillar of Salt,Uncanny,Uncanny,Uncanny,Uncanny
A Pillar of Salt,Supply and Demand,A Pillar of Salt,A Pillar of Salt,Supply and Demand,A Pillar of Salt,A Pillar of Salt,A Pillar of Salt,A Pillar of Salt
Supply and Demand,,,Supply and Demand,,,Supply and Demand,,
My Body Is A Cage,,,My Body Is A Cage,,,My Body Is A Cage,,
#SET2,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Her Kiss,Hairline Fracture,Her Kiss,Her Kiss,Hairline Fracture,Her Kiss,Her Kiss,Ambrosia,Her Kiss
Uncanny,Ambrosia,Uncanny,Uncanny,Ambrosia,Uncanny,Uncanny,Uncanny,Uncanny
Hairline Fracture,Uncanny,Hairline Fracture,Hairline Fracture,Uncanny,Hairline Fracture,Hairline Fracture,Hairline Fracture,Hairline Fracture
Freak Of The World,,,Freak Of The World,,,Freak Of The World,,
Ambrosia,,,Ambrosia,,,Ambrosia,,
#SET3,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
The Package,Do You See Me Now,The Package,The Package,"You're Crashing, But You're No Wave",The Package,The Package,Do You See Me Now,The Package
"You're Crashing, But You're No Wave","You're Crashing, But You're No Wave","You're Crashing, But You're No Wave","You're Crashing, But You're No Wave",Do You See Me Now,"You're Crashing, But You're No Wave","You're Crashing, But You're No Wave","You're Crashing, But You're No Wave","You're Crashing, But You're No Wave"
Do You See Me Now,The Package,Do You See Me Now,Do You See Me Now,The Package,Do You See Me Now,Do You See Me Now,The Package,Do You See Me Now
A Pillar of Salt,,,A Pillar of Salt,,,A Pillar of Salt,,
Supply and Demand,,,Supply and Demand,,,Supply and Demand,,
#SET4,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Listen to the Math,Ambrosia,Listen to the Math,Listen to the Math,Ambrosia,Listen to the Math,Listen to the Math,Ambrosia,Listen to the Math
A Perfect Mess,Touch of Red,A Perfect Mess,A Perfect Mess,Touch of Red,A Perfect Mess,A Perfect Mess,Listen to the Math,A Perfect Mess
Touch of Red,Listen to the Math,Touch of Red,Touch of Red,Listen to the Math,Touch of Red,Touch of Red,Touch of Red,Touch of Red
Ambrosia,,,Ambrosia,,,Ambrosia,,
My Body Is A Cage,,,My Body Is A Cage,,,My Body Is A Cage,,
#SET5,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Listen to the Math,Ambrosia,Listen to the Math,Listen to the Math,Ambrosia,Listen to the Math,Listen to the Math,Ambrosia,Listen to the Math
Old White Lincoln,Way Away,Old White Lincoln,Old White Lincoln,Way Away,Old White Lincoln,Old White Lincoln,Way Away,Old White Lincoln
Way Away,Listen to the Math,Way Away,Way Away,Listen to the Math,Way Away,Way Away,Listen to the Math,Way Away
The Final March,,,The Final March,,,The Final March,,
Ambrosia,,,Ambrosia,,,Ambrosia,,
#SET6,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
The White Sea,Nice To Know You,The White Sea,The White Sea,Nice To Know You,The White Sea,The White Sea,The Package,The White Sea
The Package,The Package,The Package,The Package,The Package,The Package,The Package,Freak Gasoline Fight Accident,The Package
Nice To Know You,Freak Gasoline Fight Accident,Nice To Know You,Nice To Know You,Freak Gasoline Fight Accident,Nice To Know You,Nice To Know You,Nice To Know You,Nice To Know You
Freak Gasoline Fight Accident,,,Freak Gasoline Fight Accident,,,Freak Gasoline Fight Accident,,
Big Distraction,,,Big Distraction,,,Big Distraction,,
#SET7,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
"You're Crashing, But You're No Wave",Hairline Fracture,"You're Crashing, But You're No Wave","You're Crashing, But You're No Wave",Hairline Fracture,"You're Crashing, But You're No Wave","You're Crashing, But You're No Wave",Her Kiss,"You're Crashing, But You're No Wave"
Her Kiss,Way Away,Her Kiss,Her Kiss,Way Away,Her Kiss,Her Kiss,Way Away,Her Kiss
Way Away,"You're Crashing, But You're No Wave",Way Away,Way Away,"You're Crashing, But You're No Wave",Way Away,Way Away,Hairline Fracture,Way Away
Hairline Fracture,,,Hairline Fracture,,,Hairline Fracture,,
A Pillar of Salt,,,A Pillar of Salt,,,A Pillar of Salt,,
#SET8,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
I Wanna Hear Another Fast Song,I Wanna Hear Another Fast Song,I Wanna Hear Another Fast Song,I Wanna Hear Another Fast Song,I Wanna Hear Another Fast Song,I Wanna Hear Another Fast Song,I Wanna Hear Another Fast Song,Freak Gasoline Fight Accident,I Wanna Hear Another Fast Song
The White Sea,"You're Crashing, But You're No Wave",The White Sea,The White Sea,"You're Crashing, But You're No Wave",The White Sea,The White Sea,"You're Crashing, But You're No Wave",The White Sea
"You're Crashing, But You're No Wave",Freak Gasoline Fight Accident,"You're Crashing, But You're No Wave","You're Crashing, But You're No Wave",Freak Gasoline Fight Accident,"You're Crashing, But You're No Wave","You're Crashing, But You're No Wave",I Wanna Hear Another Fast Song,"You're Crashing, But You're No Wave"
Freak Gasoline Fight Accident,,,Freak Gasoline Fight Accident,,,Freak Gasoline Fight Accident,,
My Body Is A Cage,,,My Body Is A Cage,,,My Body Is A Cage,,
#SET9,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
The Art of Losing,Collision,The Art of Losing,The Art of Losing,Collision,The Art of Losing,The Art of Losing,Collision,The Art of Losing
"You're Crashing, But You're No Wave",Touch of Red,"You're Crashing, But You're No Wave","You're Crashing, But You're No Wave",Touch of Red,"You're Crashing, But You're No Wave","You're Crashing, But You're No Wave",Touch of Red,"You're Crashing, But You're No Wave"
Touch of Red,"You're Crashing, But You're No Wave",Touch of Red,Touch of Red,"You're Crashing, But You're No Wave",Touch of Red,Touch of Red,"You're Crashing, But You're No Wave",Touch of Red
Collision,,,Collision,,,Collision,,
Let's Have A War,,,Let's Have A War,,,Let's Have A War,,
#SET10,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
